                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.48727,                0.48459,                0.85799,                0.96666,                      1,                0.99045,                0.91338,                0.45633,                0.44127,                0.81393,               0.001307,               0.001307,               0.001307
                     38,                0.45121,                0.46994,                0.85077,                0.99784,                      1,                  0.995,                0.90246,                0.42863,                0.45088,                 0.8077,              0.0012872,              0.0012872,              0.0012872
                     39,                0.43898,                0.45238,                 0.8458,                0.99789,                      1,                  0.995,                0.91243,                0.43267,                 0.4674,                0.81281,              0.0012674,              0.0012674,              0.0012674
                     40,                0.46451,                0.44809,                0.86671,                0.99791,                      1,                  0.995,                 0.9258,                0.41513,                0.48348,                0.80769,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.4608,                0.46848,                0.85891,                0.99751,                      1,                  0.995,                 0.9381,                0.38799,                0.45993,                0.80089,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.4337,                0.44811,                 0.8475,                0.99754,                      1,                  0.995,                 0.9146,                0.41426,                 0.4405,                0.80693,               0.001208,               0.001208,               0.001208
                     43,                0.44368,                0.46734,                0.84475,                 0.9978,                      1,                  0.995,                0.89059,                0.50269,                0.42439,                0.83166,              0.0011882,              0.0011882,              0.0011882
                     44,                0.47531,                0.44746,                0.86063,                  0.998,                      1,                  0.995,                0.90862,                0.42551,                0.38741,                0.81619,              0.0011684,              0.0011684,              0.0011684
                     45,                0.40735,                0.42053,                0.83128,                0.99816,                      1,                  0.995,                0.93436,                0.37739,                0.36636,                0.80554,              0.0011486,              0.0011486,              0.0011486
                     46,                0.43991,                0.44092,                0.86301,                0.99827,                      1,                  0.995,                0.92179,                0.40753,                0.38271,                0.81325,              0.0011288,              0.0011288,              0.0011288
                     47,                0.43305,                 0.4213,                0.84844,                0.99817,                      1,                  0.995,                0.91323,                 0.4108,                0.37888,                0.80883,               0.001109,               0.001109,               0.001109
                     48,                0.43132,                0.43762,                0.85188,                0.99833,                      1,                  0.995,                 0.9256,                0.37334,                0.37295,                0.79622,              0.0010892,              0.0010892,              0.0010892
                     49,                0.36196,                0.39845,                0.83756,                0.99833,                      1,                  0.995,                0.93087,                0.38694,                0.37908,                0.79881,              0.0010694,              0.0010694,              0.0010694
                     50,                0.45599,                0.44121,                0.83752,                0.99831,                      1,                  0.995,                0.93712,                0.37625,                0.38826,                0.79318,              0.0010496,              0.0010496,              0.0010496
                     51,                0.40471,                0.40389,                0.84534,                0.99821,                      1,                  0.995,                0.93402,                0.35594,                0.35804,                0.78811,              0.0010298,              0.0010298,              0.0010298
